JOURNAL NAME,ISSN NO,PUBLISHER,OPEN ACCESS,SUBSCRIPTION,COUNTRY,AIM & SCOPE,HYBRID MODE,PAYMENT TYPE,SUM OF USD,SUM OF INDIAN RS,PUBLICATION DURATION DAYS,IMPACT FACTOR,SCOPUS Q1,SCOPUS Q2,SCOPUS Q3,SCOPUS Q4,SCI,ANNEXURE,NON INDEXING,GUIDE LINES OF JOURNAL,EDITOR,CO-EDITOR,ACCEPTANCE RATE,SUBJECT AREA
Forensic Science International-Genetics,1872-4973,Elsevier Ireland Ltd,Hybrid OA (Gold option),YES,Ireland,"Publishes research on forensic genetics, DNA analysis, and applied medical sciences.",YES,APC,3480,290000,85.0,4.5,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Peter Gill,Editorial Board,19%,Genetics / Forensic Science
Forensic Science Medicine And Pathology,1547-769X,Humana Press Inc,Hybrid OA (Gold option),YES,United States,"Publishes research on forensic medicine, pathology, and applied medical sciences.",YES,APC,3190,265000,85.0,2.4,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Michael Tsokos,Editorial Board,24%,Medicine / Pathology
Forensic Toxicology,1860-8965,Springer,Hybrid OA (Gold option),YES,Japan,"Publishes research on forensic toxicology, pharmacology, and applied medical sciences.",YES,APC,3190,265000,85.0,2.7,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Osamu Suzuki,Editorial Board,23%,Toxicology / Forensic Science
Forest Ecology And Management,0378-1127,Elsevier Sci Bv,Hybrid OA (Gold option),YES,Netherlands,"Publishes research on forest ecology, management, and applied environmental sciences.",YES,APC,3480,290000,85.0,4,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. David Lindenmayer,Editorial Board,20%,Forestry / Ecology
Forest Ecosystems,2095-6355,Springer Heidelberg,Hybrid OA (Gold option),YES,Germany,"Publishes research on forest ecosystems, biodiversity, and applied environmental sciences.",YES,APC,3190,265000,85.0,3.2,YES,NO,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Xiangdong Lei,Editorial Board,22%,Forestry / Ecology
Forest Pathology,1437-4781,Wiley,Hybrid OA (Gold option),YES,Germany,"Publishes research on forest pathology, plant diseases, and applied environmental sciences.",YES,APC,3000,250000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Matteo Garbelotto,Editorial Board,23%,Forestry / Pathology
Forest Policy And Economics,1389-9341,Elsevier Sci Bv,Hybrid OA (Gold option),YES,United States,"Publishes research on forest policy, economics, and applied environmental sciences.",YES,APC,3480,290000,85.0,3,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Ian Ferguson,Editorial Board,22%,Forestry / Economics
Forest Products Journal,0015-7473,Forest Products Soc,Hybrid OA (Gold option),YES,United States,"Publishes research on forest products, wood science, and applied materials sciences.",YES,APC,2000,170000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Michael Barnes,Editorial Board,26%,Forestry / Materials Science
Forest Science,0015-749X,Soc Amer Foresters,Hybrid OA (Gold option),YES,United States,"Publishes research on forest science, ecology, and applied environmental sciences.",YES,APC,2000,170000,85.0,3.1,YES,NO,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. John Coulston,Editorial Board,21%,Forestry / Ecology
Forest Systems,2171-5068,Inst Nacional Investigacion Tecnologia Agraria Alimentaria,Hybrid OA (Gold option),YES,Spain,"Publishes research on forest systems, agroforestry, and applied environmental sciences.",YES,APC,2000,170000,85.0,2.2,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Rafael Calama,Editorial Board,25%,Forestry / Agroforestry
Forestry,0015-752X,Oxford Univ Press,Hybrid OA (Gold option),YES,England,"Publishes research on forestry, forest management, and applied environmental sciences.",YES,APC,3000,250000,85.0,3.5,YES,NO,NO,YES,YES,YES,NO,OUP portal; structured abstract,Dr. Julian Evans,Editorial Board,22%,Forestry / Environmental Science
Forestry Chronicle,0015-7546,Canadian Inst Forestry,Hybrid OA (Gold option),YES,Canada,"Publishes research on forestry, forest policy, and applied environmental sciences.",YES,APC,2000,170000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. David Price,Editorial Board,26%,Forestry / Policy
Forests,1999-4907,Mdpi Ag,Gold OA,NO,Switzerland,"Publishes openaccess research on forests, ecology, and applied environmental sciences.",NO,APC,2000,170000,60.0,3.4,YES,NO,NO,YES,YES,YES,NO,MDPI portal; structured abstract,Dr. Timothy A. Martin,Editorial Board,22%,Forestry / Ecology
Formal Aspects Of Computing,0934-5043,Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on formal aspects of computing, programming languages, and applied computer science.",YES,APC,3190,265000,85.0,2.3,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Cliff Jones,Editorial Board,25%,Computer Science / Formal Methods
Formal Methods In System Design,0925-9856,Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on formal methods, system design, and applied computer science.",YES,APC,3190,265000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Edmund Clarke,Editorial Board,24%,Computer Science / Systems Design
Forschung Im Ingenieurwesen-Engineering Research,0015-7899,Springer Heidelberg,Hybrid OA (Gold option),YES,Germany,"Publishes research on engineering, applied sciences, and industrial technology.",YES,APC,3190,265000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Klaus Jurgen Bathe,Editorial Board,26%,Engineering / Applied Sciences
Fortschritte Der Neurologie Psychiatrie,0720-4299,Georg Thieme Verlag Kg,Hybrid OA (Gold option),YES,Germany,"Publishes clinical research on neurology, psychiatry, and applied medical sciences.",YES,APC,2000,170000,85.0,2.3,NO,YES,NO,YES,YES,YES,NO,Thieme portal; structured abstract,Dr. Hans-Joachim Meyer,Editorial Board,25%,Neurology / Psychiatry
Fortschritte Der Physik-Progress Of Physics,0015-8208,Wiley-Vch Verlag Gmbh,Hybrid OA (Gold option),YES,Germany,"Publishes research on physics, applied theoretical sciences, and computational studies.",YES,APC,3000,250000,85.0,2.9,NO,YES,NO,YES,YES,YES,NO,Wiley portal; structured abstract,Dr. Joachim Reinhardt,Editorial Board,23%,Physics / Applied Sciences
Forum Mathematicum,0933-7741,Walter De Gruyter Gmbh,Hybrid OA (Gold option),YES,Germany,"Publishes research on mathematics, applied theoretical sciences, and computational studies.",YES,APC,2000,170000,85.0,2.1,NO,YES,NO,YES,YES,YES,NO,De Gruyter portal; structured abstract,Dr. Martin Aigner,Editorial Board,26%,Mathematics
Forum-A Journal Of Applied Research In Contemporary Politics,2194-6183,Walter De Gruyter Gmbh,Hybrid OA (Gold option),YES,United States,"Publishes applied research on contemporary politics, policy, and social sciences.",YES,APC,2000,170000,85.0,2,NO,YES,NO,YES,YES,YES,NO,De Gruyter portal; structured abstract,Dr. Russell Dalton,Editorial Board,26%,Political Science / Policy
Fossil Record,2193-0066,Copernicus Gesellschaft Mbh,Hybrid OA (Gold option),YES,Germany,"Publishes research on paleontology, fossils, and applied earth sciences.",YES,APC,2000,170000,85.0,2.2,NO,YES,NO,YES,YES,YES,NO,Copernicus portal; structured abstract,Dr. Mike Reich,Editorial Board,25%,Paleontology / Earth Sciences
Fottea,1802-5439,Czech Phycological Soc,Hybrid OA (Gold option),YES,Czech Republic,"Publishes research on phycology, algae, and applied life sciences.",YES,APC,2000,170000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Ji Komrek,Editorial Board,26%,Phycology / Biology
Foundations And Trends In Information Retrieval,1554-0669,Now Publishers Inc,Hybrid OA (Gold option),YES,United States,"Publishes review articles and tutorials on information retrieval, computer science, and applied technology.",YES,APC,2000,170000,85.0,3,YES,NO,NO,YES,YES,YES,NO,Now Publishers portal; structured abstract,Dr. W. Bruce Croft,Editorial Board,21%,Computer Science / Information Retrieval
Foundations Of Chemistry,1386-4238,Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on philosophy of chemistry, chemical theory, and applied sciences.",YES,APC,3190,265000,85.0,2.1,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Eric Scerri,Editorial Board,25%,Chemistry / Philosophy Of Science
Foundations Of Computational Mathematics,1615-3375,Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on computational mathematics, algorithms, and applied theoretical sciences.",YES,APC,3190,265000,85.0,2.8,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Felipe Cucker,Editorial Board,23%,Mathematics / Computational Science
Foundations Of Physics,0015-9018,Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on foundations of physics, quantum mechanics, and applied theoretical sciences.",YES,APC,3190,265000,85.0,3,YES,NO,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Gerard t Hooft,Editorial Board,22%,Physics / Quantum Theory
Foundations Of Science,1233-1821,Springer,Hybrid OA (Gold option),YES,Netherlands,"Publishes research on philosophy of science, epistemology, and applied theoretical studies.",YES,APC,3190,265000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Theo Kuipers,Editorial Board,26%,Philosophy / Science
Fourrages,0429-2766,Assoc Francaise Production Fourragere,Hybrid OA (Gold option),YES,France,"Publishes research on forage production, agronomy, and applied agricultural sciences.",YES,APC,2000,170000,85.0,1.9,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Jean-Pierre Jouany,Editorial Board,27%,Agronomy / Agriculture
Fractals-Complex Geometry Patterns And Scaling In Nature And Society,0218-348X,World Scientific Publ Co Pte Ltd,Hybrid OA (Gold option),YES,Singapore,"Publishes research on fractals, complex geometry, scaling, and applied mathematical sciences.",YES,APC,2000,170000,85.0,1.9,NO,YES,NO,YES,YES,YES,NO,World Scientific portal; structured abstract,Dr. Heinz-Otto Peitgen,Editorial Board,27%,Mathematics / Complex Systems
Fractional Calculus And Applied Analysis,1311-0454,Walter De Gruyter Gmbh,Hybrid OA (Gold option),YES,Bulgaria,"Publishes research on fractional calculus, applied mathematics, and computational sciences.",YES,APC,2000,170000,85.0,2.2,NO,YES,NO,YES,YES,YES,NO,De Gruyter portal; structured abstract,Dr. Virginia Kiryakova,Editorial Board,25%,Mathematics / Applied Analysis
Free Radical Biology And Medicine,0891-5849,Elsevier Sci Inc,Hybrid OA (Gold option),YES,United States,"Publishes highimpact research on free radicals, oxidative stress, and applied biomedical sciences.",YES,APC,3480,290000,85.0,6.5,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Barry Halliwell,Editorial Board,18%,Biomedical Science / Medicine
Free Radical Research,1071-5762,Taylor & Francis Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on free radical chemistry, biology, and applied medical sciences.",YES,APC,3000,250000,85.0,3,YES,NO,NO,YES,YES,YES,NO,T&F portal; structured abstract,Dr. Giuseppe Valditara,Editorial Board,21%,Chemistry / Medicine
Fresenius Environmental Bulletin,1018-4619,Parlar Scientific Publications,Hybrid OA (Gold option),YES,Germany,"Publishes research on environmental science, pollution, and applied ecological sciences.",YES,APC,2000,170000,85.0,1.6,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Hans Parlar,Editorial Board,27%,Environmental Science
Freshwater Biology,0046-5070,Wiley,Hybrid OA (Gold option),YES,England,"Publishes highimpact research on freshwater ecosystems, ecology, and applied environmental sciences.",YES,APC,3000,250000,85.0,4.5,YES,NO,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Colin Townsend,Editorial Board,20%,Ecology / Freshwater Science
Freshwater Science,2161-9549,Univ Chicago Press,Hybrid OA (Gold option),YES,United States,"Publishes research on freshwater biology, ecology, and applied environmental sciences.",YES,APC,2000,170000,85.0,2.7,NO,YES,NO,YES,YES,YES,NO,UCP portal; structured abstract,Dr. Emily Stanley,Editorial Board,24%,Ecology / Freshwater Biology
Friction,2223-7690,Tsinghua Univ Press,Hybrid OA (Gold option),YES,Germany,"Publishes research on friction, tribology, and applied engineering sciences.",YES,APC,2000,170000,85.0,3.8,YES,NO,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Yonggang Meng,Editorial Board,21%,Engineering / Tribology
Frontiers In Aging Neuroscience,1663-4365,Frontiers Media Sa,Gold OA,NO,Switzerland,"Publishes openaccess research on aging neuroscience, neurodegeneration, and applied medical sciences.",NO,APC,2000,170000,60.0,3.9,YES,NO,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. Agneta Nordberg,Editorial Board,22%,Neuroscience / Aging
Frontiers In Behavioral Neuroscience,1662-5153,Frontiers Media Sa,Gold OA,NO,Switzerland,"Publishes openaccess research on behavioral neuroscience, psychology, and applied medical sciences.",NO,APC,2000,170000,60.0,3.5,YES,NO,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. Trevor Robbins,Editorial Board,23%,Neuroscience / Psychology
Frontiers In Bioscience-Landmark,1093-9946,Frontiers In Bioscience Inc,Gold OA,NO,United States,"Publishes openaccess research on bioscience, molecular biology, and applied life sciences.",NO,APC,2000,170000,60.0,2.8,NO,YES,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. James Morris,Editorial Board,25%,Life Sciences / Biology
Frontiers In Cellular And Infection Microbiology,2235-2988,Frontiers Media Sa,Gold OA,NO,Switzerland,"Publishes openaccess research on cellular microbiology, infection biology, and applied medical sciences.",NO,APC,2000,170000,60.0,4,YES,NO,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. Arturo Casadevall,Editorial Board,21%,Microbiology / Infection Biology
Frontiers In Cellular Neuroscience,1662-5102,Frontiers Media Sa,Gold OA,NO,Switzerland,"Publishes openaccess research on cellular neuroscience, neurobiology, and applied medical sciences.",NO,APC,2000,170000,60.0,3.7,YES,NO,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. Pierre Magistretti,Editorial Board,22%,Neuroscience / Cellular Biology
Frontiers In Chemistry,2296-2646,Frontiers Media Sa,Gold OA,NO,Switzerland,"Publishes openaccess research on chemistry, materials science, and applied sciences.",NO,APC,2000,170000,60.0,4.2,YES,NO,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. Jean-Marie Lehn,Editorial Board,20%,Chemistry / Materials Science
Frontiers In Computational Neuroscience,1662-5188,Frontiers Media Sa,Gold OA,NO,Switzerland,"Publishes openaccess research on computational neuroscience, modeling, and applied medical sciences.",NO,APC,2000,170000,60.0,3.6,YES,NO,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. Olaf Sporns,Editorial Board,22%,Neuroscience / Computational Science
Frontiers In Ecology And The Environment,1540-9295,Wiley,Hybrid OA (Gold option),YES,United States,"Publishes highimpact research on ecology, environment, and applied environmental sciences.",YES,APC,3000,250000,85.0,9,YES,NO,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Monica Turner,Editorial Board,12%,Ecology / Environmental Science
Frontiers In Endocrinology,1664-2392,Frontiers Media Sa,Gold OA,NO,Switzerland,"Publishes openaccess research on endocrinology, hormones, and applied medical sciences.",NO,APC,2000,170000,60.0,3.4,YES,NO,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. Andrea Giustina,Editorial Board,23%,Endocrinology / Medicine
Frontiers In Energy,2095-1701,Higher Education Press,Hybrid OA (Gold option),YES,China,"Publishes research on energy, sustainability, and applied engineering sciences.",YES,APC,2000,170000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Zhenhua Bai,Editorial Board,25%,Energy / Engineering
Frontiers In Genetics,1664-8021,Frontiers Media Sa,Gold OA,NO,Switzerland,"Publishes openaccess research on genetics, genomics, and applied life sciences.",NO,APC,2000,170000,60.0,4.1,YES,NO,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. Erik Garrison,Editorial Board,21%,Genetics / Genomics
Frontiers In Human Neuroscience,1662-5161,Frontiers Media Sa,Gold OA,NO,Switzerland,"Publishes openaccess research on human neuroscience, cognition, and applied medical sciences.",NO,APC,2000,170000,60.0,3.8,YES,NO,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. Olaf Blanke,Editorial Board,22%,Neuroscience / Cognitive Science
Frontiers In Immunology,1664-3224,Frontiers Media Sa,Gold OA,NO,Switzerland,"Publishes openaccess research on immunology, immune system biology, and applied medical sciences.",NO,APC,2000,170000,60.0,7,YES,NO,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. Giorgio Trinchieri,Editorial Board,15%,Immunology / Medicine
Frontiers In Life Science,2155-3769,Taylor & Francis Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on life sciences, biology, and applied interdisciplinary sciences.",YES,APC,3000,250000,85.0,2.2,NO,YES,NO,YES,YES,YES,NO,T&F portal; structured abstract,Dr. David Logan,Editorial Board,25%,Life Sciences / Biology
Frontiers In Materials,2296-8016,Frontiers Media Sa,Gold OA,NO,Switzerland,"Publishes openaccess research on materials science, nanotechnology, and applied engineering sciences.",NO,APC,2000,170000,60.0,3,YES,NO,NO,YES,YES,YES,NO,Frontiers portal; structured abstract,Dr. Nicola Pugno,Editorial Board,23%,Materials Science / Engineering
